"query","slug","volume","difficulty","intent","cluster","pillar_slug","notes","status"
"launch video subtitles for tiktok reels and shorts","launch-video-subtitles-for-tiktok-reels-and-shorts","130","20","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"hook first caption edits for tiktok reels and shorts","hook-first-caption-edits-for-tiktok-reels-and-shorts","125","21","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"subtitle readability for tiktok reels and shorts","subtitle-readability-for-tiktok-reels-and-shorts","120","22","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"caption review handoff for tiktok reels and shorts","caption-review-handoff-for-tiktok-reels-and-shorts","115","23","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"caption versioning for tiktok reels and shorts","caption-versioning-for-tiktok-reels-and-shorts","110","24","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"social transcript review for tiktok reels and shorts","social-transcript-review-for-tiktok-reels-and-shorts","105","25","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"caption batching for tiktok reels and shorts","caption-batching-for-tiktok-reels-and-shorts","100","8","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"caption approval for tiktok reels and shorts","caption-approval-for-tiktok-reels-and-shorts","95","9","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"caption polish for tiktok reels and shorts","caption-polish-for-tiktok-reels-and-shorts","90","10","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"best way to manage caption timing in vertical video","best-way-to-manage-caption-timing-in-vertical-video","85","11","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"best way to manage caption styling in vertical video","best-way-to-manage-caption-styling-in-vertical-video","80","12","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"best way to manage subtitle positioning in vertical video","best-way-to-manage-subtitle-positioning-in-vertical-video","75","13","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"best way to manage transcript cleanup in vertical video","best-way-to-manage-transcript-cleanup-in-vertical-video","70","14","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"best way to manage script alignment in vertical video","best-way-to-manage-script-alignment-in-vertical-video","65","15","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"best way to manage caption revisions in vertical video","best-way-to-manage-caption-revisions-in-vertical-video","260","16","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"best way to manage subtitle exports in vertical video","best-way-to-manage-subtitle-exports-in-vertical-video","255","17","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"best way to manage open captions in vertical video","best-way-to-manage-open-captions-in-vertical-video","250","18","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"best way to manage brand safe subtitles in vertical video","best-way-to-manage-brand-safe-subtitles-in-vertical-video","245","19","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"best way to manage caption presets in vertical video","best-way-to-manage-caption-presets-in-vertical-video","240","20","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"best way to manage ugc ad captions in vertical video","best-way-to-manage-ugc-ad-captions-in-vertical-video","235","21","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"best way to manage product demo captions in vertical video","best-way-to-manage-product-demo-captions-in-vertical-video","230","22","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"best way to manage tutorial video captions in vertical video","best-way-to-manage-tutorial-video-captions-in-vertical-video","225","23","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"best way to manage founder video captions in vertical video","best-way-to-manage-founder-video-captions-in-vertical-video","220","24","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"best way to manage testimonial video captions in vertical video","best-way-to-manage-testimonial-video-captions-in-vertical-video","215","25","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"best way to manage course promo captions in vertical video","best-way-to-manage-course-promo-captions-in-vertical-video","210","8","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
"best way to manage launch video subtitles in vertical video","best-way-to-manage-launch-video-subtitles-in-vertical-video","205","9","informational","creator-workflow","animated-captions-for-short-form-video","Auto-seeded expansion topic for creator-workflow.","review"
